Unnamed: 0,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
70,FF,2015-04-05,88.9,-1.05,5.97,"Wainwright, Adam",Mike Olt,Adam Wainwright,,called_strike,,,,,9,"Mike Olt grounds out, shortstop Jhonny Peralta to first baseman Matt Adams.",R,R,R,CHC,STL,S,,,0,0,2015,-0.82,1.66,0.63,1.71,,,,2,4,Bot,,,,,Yadier Molina,,150405_204026,5.89,-129.2,-7.91,-8.33,28.23,-14.95,3.5,1.57,,,,,,,413661,425794,425877,Matt Adams,Kolten Wong,Matt Carpenter,Jhonny Peralta,Matt Holliday,Jon Jay,Jason Heyward,50,,,,,,,,34,1,4-Seam Fastball,0,2,0,2,2,0,0,2,,,,0.0,-0.016
72,FF,2015-04-05,89.2,-1.25,6.12,"Wainwright, Adam",Chris Coghlan,Adam Wainwright,field_out,hit_into_play,,,,,5,"Chris Coghlan grounds out, first baseman Matt Adams to pitcher Adam Wainwright.",R,L,R,CHC,STL,X,3.0,ground_ball,1,0,2015,-0.36,1.47,-0.08,2.54,,,,1,4,Bot,150.31,165.36,,,Yadier Molina,,150405_203946,3.52,-129.75,-5.79,-2.77,28.94,-17.14,3.27,1.47,10.0,91.1,-16.0,89.3,2187.0,6.4,413661,425794,425877,Matt Adams,Kolten Wong,Matt Carpenter,Jhonny Peralta,Matt Holliday,Jon Jay,Jason Heyward,50,0.133,0.12,0.0,1.0,0.0,0.0,2.0,33,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,,-0.019,-0.179
74,CU,2015-04-05,73.7,-1.41,6.38,"Wainwright, Adam",Chris Coghlan,Adam Wainwright,,ball,,,,,14,"Chris Coghlan grounds out, first baseman Matt Adams to pitcher Adam Wainwright.",R,L,R,CHC,STL,B,,,0,0,2015,1.09,-1.27,0.33,0.54,,,,1,4,Bot,,,,,Yadier Molina,,150405_203926,1.26,-107.37,-1.8,9.99,23.3,-43.77,3.27,1.47,,,,73.0,2766.0,6.2,413661,425794,425877,Matt Adams,Kolten Wong,Matt Carpenter,Jhonny Peralta,Matt Holliday,Jon Jay,Jason Heyward,50,,,,,,,,33,1,Curveball,0,2,0,2,2,0,0,2,Standard,Standard,,0.0,0.024
76,FC,2015-04-05,84.7,-1.16,6.29,"Wainwright, Adam",Starlin Castro,Adam Wainwright,field_out,hit_into_play,,,,,12,"Starlin Castro grounds out, shortstop Jhonny Peralta to first baseman Matt Adams.",R,R,R,CHC,STL,X,6.0,ground_ball,0,0,2015,0.26,1.1,0.83,2.75,,,,0,4,Bot,115.8,152.64,,,Yadier Molina,,150405_203844,3.96,-123.16,-4.03,4.35,22.75,-22.39,3.37,1.54,74.0,86.8,4.0,84.7,2463.0,6.0,413661,425794,425877,Matt Adams,Kolten Wong,Matt Carpenter,Jhonny Peralta,Matt Holliday,Jon Jay,Jason Heyward,50,0.333,0.3,0.0,1.0,0.0,0.0,2.0,32,1,Cutter,0,2,0,2,2,0,0,2,Standard,Standard,,-0.029,-0.224
42,FF,2015-04-05,91.3,2.15,5.22,"Lester, Jon",Adam Wainwright,Jon Lester,field_out,hit_into_play,,,,,8,"Adam Wainwright grounds out, third baseman Mike Olt to first baseman Anthony Rizzo.",R,R,L,CHC,STL,X,5.0,ground_ball,1,0,2015,0.7,1.56,0.14,1.89,Kolten Wong,,,2,4,Top,102.35,167.17,,,David Ross,,150405_203539,-7.24,-132.64,-5.72,10.49,31.21,-15.43,3.61,1.64,,79.1,-28.0,,2225.0,6.3,413661,452657,424325,Anthony Rizzo,Tommy La Stella,Mike Olt,Starlin Castro,Chris Coghlan,Dexter Fowler,Jorge Soler,50,0.073,0.073,0.0,1.0,0.0,0.0,2.0,31,2,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Strategic,,0.031,-0.368
44,CU,2015-04-05,74.1,2.3,5.48,"Lester, Jon",Adam Wainwright,Jon Lester,,ball,,,,,13,"Adam Wainwright grounds out, third baseman Mike Olt to first baseman Anthony Rizzo.",R,R,L,CHC,STL,B,,,0,0,2015,-1.05,-0.63,-0.38,1.31,Kolten Wong,,,2,4,Top,,,,,David Ross,,150405_203523,-3.87,-107.94,0.24,-7.85,18.46,-38.92,3.61,1.64,,,,,2596.0,5.4,413661,452657,424325,Anthony Rizzo,Tommy La Stella,Mike Olt,Starlin Castro,Chris Coghlan,Dexter Fowler,Jorge Soler,50,,,,,,,,31,1,Curveball,0,2,2,0,2,0,2,0,Standard,Strategic,,0.0,0.016
47,FC,2015-04-05,83.6,2.46,5.38,"Lester, Jon",Jon Jay,Jon Lester,strikeout,called_strike,,,,,12,Jon Jay called out on strikes.,R,L,L,CHC,STL,S,2.0,,2,2,2015,-0.59,0.92,1.07,2.63,Kolten Wong,,,1,4,Top,,,,,David Ross,,150405_203446,-2.34,-121.74,-1.65,-5.03,18.61,-24.39,3.34,1.42,,,,,2207.0,6.1,413661,452657,424325,Anthony Rizzo,Tommy La Stella,Mike Olt,Starlin Castro,Chris Coghlan,Dexter Fowler,Jorge Soler,50,,,0.0,1.0,0.0,0.0,,30,6,Cutter,0,2,2,0,2,0,2,0,Strategic,Strategic,,0.05,-0.446
49,FF,2015-04-05,91.6,2.02,5.29,"Lester, Jon",Jon Jay,Jon Lester,,ball,,,,,13,Jon Jay called out on strikes.,R,L,L,CHC,STL,B,,,1,2,2015,0.81,1.53,-1.48,2.12,Kolten Wong,,,1,4,Top,,,,,David Ross,,150405_203423,-11.52,-132.92,-5.41,12.19,27.35,-15.38,3.31,1.4,,,,,2239.0,6.4,413661,452657,424325,Anthony Rizzo,Tommy La Stella,Mike Olt,Starlin Castro,Chris Coghlan,Dexter Fowler,Jorge Soler,50,,,,,,,,30,5,4-Seam Fastball,0,2,2,0,2,0,2,0,Strategic,Strategic,,0.0,0.032
51,FC,2015-04-05,87.3,2.19,5.3,"Lester, Jon",Jon Jay,Jon Lester,,foul,,,,,13,Jon Jay called out on strikes.,R,L,L,CHC,STL,S,,,1,2,2015,-0.22,0.72,-0.83,2.1,Kolten Wong,,,1,4,Top,,,,,David Ross,,150405_203357,-7.36,-126.86,-2.87,-1.12,24.02,-26.11,3.49,1.58,,,,,2290.0,5.9,413661,452657,424325,Anthony Rizzo,Tommy La Stella,Mike Olt,Starlin Castro,Chris Coghlan,Dexter Fowler,Jorge Soler,50,,,,,,,,30,4,Cutter,0,2,2,0,2,0,2,0,Strategic,Strategic,,0.0,0.0
53,CH,2015-04-05,85.6,2.12,5.3,"Lester, Jon",Jon Jay,Jon Lester,,foul,,,,,9,Jon Jay called out on strikes.,R,L,L,CHC,STL,S,,,1,1,2015,1.04,1.0,0.39,1.79,Kolten Wong,,,1,4,Top,,,,,David Ross,,150405_203333,-6.94,-124.37,-3.89,13.26,23.67,-23.34,3.49,1.58,,,,,1953.0,6.3,413661,452657,424325,Anthony Rizzo,Tommy La Stella,Mike Olt,Starlin Castro,Chris Coghlan,Dexter Fowler,Jorge Soler,50,,,,,,,,30,3,Changeup,0,2,2,0,2,0,2,0,Strategic,Strategic,,0.0,-0.107
