,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,y
4299152,SI,2021-06-22,94.2,-1.54,5.72,"Kittredge, Andrew",Xander Bogaerts,Andrew Kittredge,,ball,,,,,13.0,Xander Bogaerts singles on a line drive to left fielder Randy Arozarena.   Alex Verdugo to 2nd.,R,R,R,TB,BOS,B,,,0,0,2021,-0.79,1.04,-0.01,0.8,,,Alex Verdugo,2,1,Top,,,,,Francisco Mejia,,,5.796457002172827,-136.63101921384572,-9.302729972918536,-11.292398526210322,35.40956036331137,-17.164326311387278,3.4,1.46,,,,94.2,2225.0,6.9,633519,552640,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.62,,,,,,,,4,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,212.0,0.0,0.036,ball
4299153,SI,2021-06-22,95.4,-1.64,5.7,"Kittredge, Andrew",Xander Bogaerts,Andrew Kittredge,,ball,,,,,14.0,Xander Bogaerts singles on a line drive to left fielder Randy Arozarena.   Alex Verdugo to 2nd.,R,R,R,TB,BOS,B,,,1,0,2021,-0.79,1.04,0.3,1.14,,,Alex Verdugo,2,1,Top,,,,,Francisco Mejia,,,6.964296534776842,-138.40876694157637,-8.646200374241273,-11.940456200138682,37.46703189872954,-16.82424638614419,3.37,1.5,,,,95.4,2135.0,6.9,633519,552640,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.58,,,,,,,,4,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,217.0,0.0,0.05,ball
4299154,SI,2021-06-22,95.5,-1.55,5.77,"Kittredge, Andrew",Xander Bogaerts,Andrew Kittredge,,called_strike,,,,,5.0,Xander Bogaerts singles on a line drive to left fielder Randy Arozarena.   Alex Verdugo to 2nd.,R,R,R,TB,BOS,S,,,2,0,2021,-0.76,0.99,-0.21,2.42,,,Alex Verdugo,2,1,Top,,,,,Francisco Mejia,,,5.286103887376561,-138.76231576178475,-5.356902324654925,-11.109428654738023,36.42280551910958,-18.33129069258649,3.47,1.51,,,,95.7,2148.0,6.9,633519,552640,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.6,,,,,,,,4,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,218.0,0.0,-0.057,called_strike
4299155,SI,2021-06-22,96.3,-1.5,5.73,"Kittredge, Andrew",Xander Bogaerts,Andrew Kittredge,,ball,,,,,14.0,Xander Bogaerts singles on a line drive to left fielder Randy Arozarena.   Alex Verdugo to 2nd.,R,R,R,TB,BOS,B,,,2,1,2021,-1.17,0.91,0.12,0.17,,,Alex Verdugo,2,1,Top,,,,,Francisco Mejia,,,7.012866693028153,-139.5386518569969,-11.159719626152414,-16.979620231616188,38.08387568229618,-17.63188612701409,3.47,1.59,,,,96.2,2125.0,6.9,633519,552640,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.56,,,,,,,,4,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,223.0,0.0,0.077,ball
4299156,SI,2021-06-22,95.2,-1.62,5.75,"Kittredge, Andrew",Xander Bogaerts,Andrew Kittredge,,called_strike,,,,,5.0,Xander Bogaerts singles on a line drive to left fielder Randy Arozarena.   Alex Verdugo to 2nd.,R,R,R,TB,BOS,S,,,3,1,2021,-1.21,0.68,-0.04,2.26,,,Alex Verdugo,2,1,Top,,,,,Francisco Mejia,,,6.932657497234434,-138.2841861260609,-4.991315458716128,-17.092164371779287,33.98894721676079,-22.544121152099127,3.47,1.57,,,,95.5,2123.0,6.8,633519,552640,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.73,,,,,,,,4,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,212.0,0.0,-0.069,called_strike
4299157,SL,2021-06-22,88.4,-1.69,5.65,"Kittredge, Andrew",Xander Bogaerts,Andrew Kittredge,single,hit_into_play,,,,,4.0,Xander Bogaerts singles on a line drive to left fielder Randy Arozarena.   Alex Verdugo to 2nd.,R,R,R,TB,BOS,X,7.0,line_drive,3,2,2021,0.63,0.12,-0.57,2.51,,,Alex Verdugo,2,1,Top,61.02,93.07,,,Francisco Mejia,,,1.4403917000924076,-128.70032173012683,-1.8166217885528515,6.692654190533565,27.65438789295883,-30.679301839159585,3.47,1.59,252.0,94.1,14.0,89.0,2442.0,6.7,633519,552640,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.78,0.931,0.906,0.9,1.0,1.0,0.0,4.0,4,6,Slider,0,0,0,0,0,0,0,0,Standard,Standard,105.0,-0.02,0.237,single
4299158,SI,2021-06-22,88.0,2.7,5.45,"Yarbrough, Ryan",Rafael Devers,Ryan Yarbrough,,called_strike,,,,,9.0,Rafael Devers strikes out on a foul tip.,R,L,L,TB,BOS,S,,,0,0,2021,1.3,0.9,0.55,1.77,,Alex Verdugo,Xander Bogaerts,2,1,Top,,,,,Francisco Mejia,,,-7.921392264015876,-127.7212646424286,-4.566428479049499,15.937002263003508,30.744052914985986,-21.52268397184637,3.23,1.42,,,,87.6,1838.0,6.5,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.96,,,,,,,,5,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,121.0,0.0,-0.074,called_strike
4299159,CU,2021-06-22,71.8,3.05,5.04,"Yarbrough, Ryan",Rafael Devers,Ryan Yarbrough,,foul,,,,,2.0,Rafael Devers strikes out on a foul tip.,R,L,L,TB,BOS,S,,,0,1,2021,-1.26,0.43,-0.07,2.91,,Alex Verdugo,Xander Bogaerts,2,1,Top,,,,,Francisco Mejia,,,-4.06486792924058,-104.42616326010804,2.690705742573692,-8.287575728606152,20.4260349186668,-29.882871749417102,3.37,1.53,319.0,96.5,42.0,71.7,2089.0,6.6,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.89,,,,,,,,5,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,272.0,0.0,-0.096,foul
4299160,CU,2021-06-22,70.2,2.96,4.98,"Yarbrough, Ryan",Rafael Devers,Ryan Yarbrough,,blocked_ball,,,,,13.0,Rafael Devers strikes out on a foul tip.,R,L,L,TB,BOS,B,,,0,2,2021,-1.52,0.37,-1.11,0.44,,Alex Verdugo,Xander Bogaerts,2,1,Top,,,,,Francisco Mejia,,,-5.409218235323065,-102.0659137346916,-1.629804722751518,-9.432483791165618,19.48677903213625,-29.55577375587306,3.17,1.42,,,,70.4,2161.0,6.8,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.67,,,,,,,,5,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,278.0,0.0,0.034,blocked_ball
4299161,CU,2021-06-22,71.7,2.9,4.95,"Yarbrough, Ryan",Rafael Devers,Ryan Yarbrough,,blocked_ball,,,,,13.0,Rafael Devers strikes out on a foul tip.,R,L,L,TB,BOS,B,,,1,2,2021,-1.3,0.2,-2.19,0.56,,Alex Verdugo,Xander Bogaerts,2,1,Top,,,,,Francisco Mejia,,,-7.889748308555797,-104.09741340886887,-1.3909918945511428,-7.901905461295894,19.43676122059764,-30.715933963207085,3.18,1.34,,,,71.6,2231.0,6.6,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.92,,,,,,,,5,4,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,276.0,0.0,0.078,blocked_ball
4299162,SI,2021-06-22,88.5,2.56,5.49,"Yarbrough, Ryan",Rafael Devers,Ryan Yarbrough,,ball,,,,,8.0,Rafael Devers strikes out on a foul tip.,R,L,L,TB,BOS,B,,,2,2,2021,1.18,0.47,-0.24,1.31,,Alex Verdugo,Xander Bogaerts,2,1,Top,,,,,Francisco Mejia,,,-9.340645641099297,-128.4205730278652,-5.0598779293377785,15.05393816169927,28.13572636700339,-26.07451896843266,3.18,1.38,,,,88.6,1775.0,6.6,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.88,,,,,,,,5,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,119.0,0.0,0.131,ball
4299163,SI,2021-06-22,88.3,2.55,5.6,"Yarbrough, Ryan",Rafael Devers,Ryan Yarbrough,strikeout,foul_tip,,,,,3.0,Rafael Devers strikes out on a foul tip.,R,L,L,TB,BOS,S,2.0,,3,2,2021,1.39,0.88,0.67,2.97,,Alex Verdugo,Xander Bogaerts,2,1,Top,,,,,Francisco Mejia,,,-7.498219465188899,-128.4019309630294,-2.1149263162821,16.910368957821394,28.6298139213604,-22.202848268537544,3.37,1.53,,,,88.5,1857.0,6.7,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.84,,,0.0,1.0,0.0,0.0,,5,6,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,121.0,0.042,-0.522,strikeout
