,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,y
4299236,CH,2021-06-22,78.9,2.63,5.26,"Yarbrough, Ryan",J. D. Martinez,Ryan Yarbrough,double,hit_into_play,,,,,8.0,"J.D. Martinez doubles (18) on a ground ball to left fielder Randy Arozarena, deflected by third baseman Wander Franco.   Danny Santana scores.    Alex Verdugo scores.",R,R,L,TB,BOS,X,5.0,ground_ball,0,0,2021,1.42,0.42,-0.04,1.89,,Danny Santana,Alex Verdugo,0,3,Top,41.59,131.43,,,Francisco Mejia,,,-8.4908096236349,-114.56240144278745,-1.1990681726389858,14.106710616792908,23.56252494635616,-28.46729580983774,3.49,1.6,37.0,83.3,0.0,78.9,1925.0,6.7,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.8,0.237,0.222,1.25,1.0,1.0,1.0,2.0,22,1,Changeup,2,0,0,2,2,2,2,2,Standard,Standard,96.0,-0.185,1.505,double
4299237,CH,2021-06-22,77.3,2.64,5.3,"Yarbrough, Ryan",Xander Bogaerts,Ryan Yarbrough,,foul,,,,,14.0,Xander Bogaerts singles on a ground ball to center fielder Kevin Kiermaier.   J.D. Martinez to 3rd.,R,R,L,TB,BOS,S,,,0,0,2021,1.41,0.47,0.92,1.62,,J. D. Martinez,,0,3,Top,,,,,Francisco Mejia,,,-6.298362350683809,-112.27543122057212,-1.6627394636255195,13.09115182422732,22.63302105232512,-28.138637571350767,3.47,1.59,5.0,64.5,-21.0,77.6,1882.0,6.8,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.67,,,,,,,,23,1,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,96.0,0.0,-0.053,foul
4299238,FC,2021-06-22,83.0,3.17,4.83,"Yarbrough, Ryan",Xander Bogaerts,Ryan Yarbrough,,called_strike,,,,,12.0,Xander Bogaerts singles on a ground ball to center fielder Kevin Kiermaier.   J.D. Martinez to 3rd.,R,R,L,TB,BOS,S,,,0,1,2021,-0.17,0.67,1.1,2.75,,J. D. Martinez,,0,3,Top,,,,,Francisco Mejia,,,-4.448347975272103,-120.91583172102172,0.4080732765197047,-0.8344168734375265,23.434933638453497,-25.92507142421873,3.56,1.57,,,,83.9,1924.0,6.8,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.72,,,,,,,,23,2,Cutter,2,2,2,2,2,2,2,2,Standard,Standard,168.0,0.0,-0.083,called_strike
4299239,CH,2021-06-22,78.1,2.86,5.13,"Yarbrough, Ryan",Xander Bogaerts,Ryan Yarbrough,,foul,,,,,14.0,Xander Bogaerts singles on a ground ball to center fielder Kevin Kiermaier.   J.D. Martinez to 3rd.,R,R,L,TB,BOS,S,,,0,2,2021,1.43,0.54,1.49,1.64,,J. D. Martinez,,0,3,Top,,,,,Francisco Mejia,,,-5.6283053473426525,-113.57980885181198,-1.5324358320334726,13.389253114510858,23.696687650837497,-27.470500255896525,3.47,1.59,1.0,60.3,-60.0,78.3,1826.0,6.8,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.72,,,,,,,,23,3,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,92.0,0.0,0.0,foul
4299240,CH,2021-06-22,77.6,2.84,5.1,"Yarbrough, Ryan",Xander Bogaerts,Ryan Yarbrough,,ball,,,,,14.0,Xander Bogaerts singles on a ground ball to center fielder Kevin Kiermaier.   J.D. Martinez to 3rd.,R,R,L,TB,BOS,B,,,0,2,2021,1.6,0.48,2.55,1.74,,J. D. Martinez,,0,3,Top,,,,,Francisco Mejia,,,-3.5735623239836927,-112.92046707851578,-1.0500482723244011,14.258474186634333,23.43100500989533,-28.16534335398219,3.54,1.52,,,,77.7,1901.0,6.7,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.82,,,,,,,,23,4,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,93.0,0.0,0.028,ball
4299241,CH,2021-06-22,78.9,2.64,5.21,"Yarbrough, Ryan",Xander Bogaerts,Ryan Yarbrough,,foul,,,,,14.0,Xander Bogaerts singles on a ground ball to center fielder Kevin Kiermaier.   J.D. Martinez to 3rd.,R,R,L,TB,BOS,S,,,1,2,2021,1.48,0.57,1.29,1.56,,J. D. Martinez,,0,3,Top,,,,,Francisco Mejia,,,-5.760925844493186,-114.63485400535998,-2.1158235006151207,14.151157610880064,23.348204394365613,-27.01362091508588,3.47,1.59,2.0,56.4,-43.0,79.3,1910.0,6.9,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.6,,,,,,,,23,5,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,93.0,0.0,0.0,foul
4299242,CU,2021-06-22,72.0,3.19,4.87,"Yarbrough, Ryan",Xander Bogaerts,Ryan Yarbrough,,foul,,,,,8.0,Xander Bogaerts singles on a ground ball to center fielder Kevin Kiermaier.   J.D. Martinez to 3rd.,R,R,L,TB,BOS,S,,,1,2,2021,-1.17,0.47,-0.15,1.88,,J. D. Martinez,,0,3,Top,,,,,Francisco Mejia,,,-4.697571752066716,-104.80790468309924,0.7870057426348396,-7.775243620755242,18.56679937284757,-29.12542227952668,3.47,1.59,173.0,65.0,53.0,72.7,2183.0,6.9,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.62,,,,,,,,23,6,Curveball,2,2,2,2,2,2,2,2,Standard,Standard,268.0,0.0,0.0,foul
4299243,CH,2021-06-22,79.5,2.71,5.26,"Yarbrough, Ryan",Xander Bogaerts,Ryan Yarbrough,,ball,,,,,14.0,Xander Bogaerts singles on a ground ball to center fielder Kevin Kiermaier.   J.D. Martinez to 3rd.,R,R,L,TB,BOS,B,,,1,2,2021,1.35,0.78,0.8,0.92,,J. D. Martinez,,0,3,Top,,,,,Francisco Mejia,,,-6.7289959421325545,-115.42015872164876,-4.09753659853236,13.364069449492334,24.49925856265739,-24.640195077896667,3.53,1.58,,,,79.1,1895.0,6.5,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,54.02,,,,,,,,23,7,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,99.0,0.0,0.029,ball
4299244,FC,2021-06-22,83.9,3.09,4.78,"Yarbrough, Ryan",Xander Bogaerts,Ryan Yarbrough,,ball,,,,,13.0,Xander Bogaerts singles on a ground ball to center fielder Kevin Kiermaier.   J.D. Martinez to 3rd.,R,R,L,TB,BOS,B,,,2,2,2021,-0.17,0.34,-1.87,1.99,,J. D. Martinez,,0,3,Top,,,,,Francisco Mejia,,,-11.19407824515811,-121.6760163664132,-0.6070896013296547,0.7750126758306098,26.501022368947588,-28.92764248170769,3.47,1.57,,,,84.0,2101.0,6.8,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.7,,,,,,,,23,8,Cutter,2,2,2,2,2,2,2,2,Standard,Standard,148.0,0.0,0.137,ball
4299245,FC,2021-06-22,83.2,3.04,4.9,"Yarbrough, Ryan",Xander Bogaerts,Ryan Yarbrough,,foul,,,,,13.0,Xander Bogaerts singles on a ground ball to center fielder Kevin Kiermaier.   J.D. Martinez to 3rd.,R,R,L,TB,BOS,S,,,3,2,2021,-0.18,0.48,-0.88,1.75,,J. D. Martinez,,0,3,Top,,,,,Francisco Mejia,,,-8.698192310281,-120.8312041560603,-1.626642802496273,0.1323792093245625,26.02608243280164,-27.40538632669633,3.47,1.59,5.0,76.1,-20.0,83.3,2134.0,6.7,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.82,,,,,,,,23,9,Cutter,2,2,2,2,2,2,2,2,Standard,Standard,155.0,0.0,0.0,foul
4299246,FC,2021-06-22,81.8,3.17,4.71,"Yarbrough, Ryan",Xander Bogaerts,Ryan Yarbrough,,foul,,,,,13.0,Xander Bogaerts singles on a ground ball to center fielder Kevin Kiermaier.   J.D. Martinez to 3rd.,R,R,L,TB,BOS,S,,,3,2,2021,-0.27,0.57,-0.88,1.79,,J. D. Martinez,,0,3,Top,,,,,Francisco Mejia,,,-8.718260062426346,-118.80201118414271,-1.017343045111535,-0.7264514508774375,25.18378514517357,-26.86057568994192,3.47,1.59,5.0,81.2,-19.0,82.3,2029.0,7.0,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.5,,,,,,,,23,10,Cutter,2,2,2,2,2,2,2,2,Standard,Standard,155.0,0.0,0.0,foul
4299247,CH,2021-06-22,78.1,2.85,5.1,"Yarbrough, Ryan",Xander Bogaerts,Ryan Yarbrough,single,hit_into_play,,,,,14.0,Xander Bogaerts singles on a ground ball to center fielder Kevin Kiermaier.   J.D. Martinez to 3rd.,R,R,L,TB,BOS,X,8.0,ground_ball,3,2,2021,1.54,0.57,1.39,1.95,,J. D. Martinez,,0,3,Top,109.24,113.19,,,Francisco Mejia,,,-6.030516633136496,-113.4513404433223,-0.8786948304398825,14.434496868163292,23.071162627174083,-27.32519584393865,3.47,1.59,55.0,92.7,1.0,78.3,1779.0,6.8,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.7,0.34,0.306,0.9,1.0,1.0,0.0,2.0,23,11,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,86.0,-0.07,0.629,single
4299248,SI,2021-06-22,87.5,2.55,5.43,"Yarbrough, Ryan",Rafael Devers,Ryan Yarbrough,,foul,,,,,9.0,Rafael Devers out on a sacrifice fly to center fielder Kevin Kiermaier.   J.D. Martinez scores.,R,L,L,TB,BOS,S,,,0,0,2021,1.29,1.02,0.48,1.54,J. D. Martinez,,Xander Bogaerts,0,3,Top,,,,,Francisco Mejia,,,-7.687701196659862,-127.08073222112463,-5.265025278906494,15.63497342832174,29.06469420740929,-20.245301166043763,3.37,1.53,286.0,88.1,42.0,87.5,1884.0,6.7,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.81,,,,,,,,24,1,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,120.0,0.0,-0.088,foul
4299249,SI,2021-06-22,87.3,2.5,5.41,"Yarbrough, Ryan",Rafael Devers,Ryan Yarbrough,,ball,,,,,9.0,Rafael Devers out on a sacrifice fly to center fielder Kevin Kiermaier.   J.D. Martinez scores.,R,L,L,TB,BOS,B,,,0,1,2021,0.96,1.0,0.8,1.85,J. D. Martinez,,Xander Bogaerts,0,3,Top,,,,,Francisco Mejia,,,-6.112614158899735,-126.8145454457379,-4.423768358943219,11.703531964046984,29.161454221536324,-20.653369167020127,3.14,1.38,,,,87.4,1739.0,6.7,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.79,,,,,,,,24,2,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,116.0,0.0,0.073,ball
4299250,SI,2021-06-22,88.3,2.46,5.4,"Yarbrough, Ryan",Rafael Devers,Ryan Yarbrough,,swinging_strike,,,,,5.0,Rafael Devers out on a sacrifice fly to center fielder Kevin Kiermaier.   J.D. Martinez scores.,R,L,L,TB,BOS,S,,,1,1,2021,1.15,0.88,0.11,2.13,J. D. Martinez,,Xander Bogaerts,0,3,Top,,,,,Francisco Mejia,,,-8.132050691539371,-128.20676958764844,-3.65878969679731,14.4114614438365,28.71525388967604,-21.892347936059288,3.37,1.53,,,,88.4,1762.0,6.7,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.85,,,,,,,,24,3,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,111.0,0.0,-0.118,swinging_strike
4299251,SI,2021-06-22,89.3,2.51,5.46,"Yarbrough, Ryan",Rafael Devers,Ryan Yarbrough,sac_fly,hit_into_play,,,,,14.0,Rafael Devers out on a sacrifice fly to center fielder Kevin Kiermaier.   J.D. Martinez scores.,R,L,L,TB,BOS,X,8.0,line_drive,1,2,2021,1.35,1.2,0.88,2.41,J. D. Martinez,,Xander Bogaerts,0,3,Top,125.44,83.34,,,Francisco Mejia,,,-6.935804959902212,-129.78452735507065,-3.9793654257604034,16.70169548260593,29.751925976575137,-17.95231137351462,3.37,1.53,288.0,91.8,18.0,89.7,1897.0,6.8,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.66,0.54,0.51,0.0,1.0,0.0,0.0,4.0,24,4,Sinker,2,2,2,2,3,2,3,2,Standard,Standard,124.0,0.019,-0.287,sac_fly
4299252,FC,2021-06-22,84.0,2.92,4.84,"Yarbrough, Ryan",Hunter Renfroe,Ryan Yarbrough,,ball,,,,,11.0,Hunter Renfroe homers (9) on a fly ball to left center field.   Xander Bogaerts scores.,R,R,L,TB,BOS,B,,,0,0,2021,0.01,0.6,-1.38,3.06,,,Xander Bogaerts,1,3,Top,,,,,Francisco Mejia,,,-10.082360374657334,-121.92177758330251,1.1549145627702004,2.14378339337822,24.36938166266433,-26.698348460254373,3.41,1.58,,,,84.8,1985.0,7.0,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.54,,,,,,,,25,1,Cutter,2,3,3,2,3,2,3,2,Infield shift,Standard,152.0,0.0,0.047,ball
4299253,CH,2021-06-22,78.7,2.62,5.13,"Yarbrough, Ryan",Hunter Renfroe,Ryan Yarbrough,home_run,hit_into_play,,,,,9.0,Hunter Renfroe homers (9) on a fly ball to left center field.   Xander Bogaerts scores.,R,R,L,TB,BOS,X,,fly_ball,1,0,2021,1.39,0.96,0.38,1.81,,,Xander Bogaerts,1,3,Top,75.78,37.52,,,Francisco Mejia,,,-7.547326315381803,-114.30766241298466,-2.0854846362536694,13.601045146356984,23.067111489694813,-23.58962699629853,3.41,1.56,417.0,103.6,29.0,79.4,1919.0,7.1,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.43,0.869,1.726,2.0,1.0,0.0,3.0,6.0,25,2,Changeup,2,3,3,2,5,2,5,2,Infield shift,Standard,93.0,-0.172,1.681,home_run
4299254,SI,2021-06-22,86.8,2.47,5.53,"Yarbrough, Ryan",Christian Vazquez,Ryan Yarbrough,,ball,,,,,13.0,Christian Vazquez flies out to right fielder Manuel Margot.,R,R,L,TB,BOS,B,,,0,0,2021,1.05,1.18,-0.68,1.19,,,,1,3,Top,,,,,Francisco Mejia,,,-9.751938922430057,-125.85798040095538,-6.587424613461414,13.222463700755467,27.34658865831529,-18.39073982655053,3.22,1.42,,,,87.0,1810.0,6.8,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.7,,,,,,,,26,1,Sinker,2,5,5,2,5,2,5,2,Standard,Standard,120.0,0.0,0.026,ball
4299255,FC,2021-06-22,82.5,3.17,4.76,"Yarbrough, Ryan",Christian Vazquez,Ryan Yarbrough,,called_strike,,,,,8.0,Christian Vazquez flies out to right fielder Manuel Margot.,R,R,L,TB,BOS,S,,,1,0,2021,-0.28,0.73,0.21,1.37,,,,1,3,Top,,,,,Francisco Mejia,,,-6.2557496320627015,-120.00928647280308,-2.612780253165063,-1.4673707119207278,23.9872160627586,-24.7885089426134,3.15,1.48,,,,83.4,2074.0,7.0,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.54,,,,,,,,26,2,Cutter,2,5,5,2,5,2,5,2,Standard,Standard,152.0,0.0,-0.032,called_strike
4299256,FC,2021-06-22,82.7,3.19,4.65,"Yarbrough, Ryan",Christian Vazquez,Ryan Yarbrough,,foul,,,,,9.0,Christian Vazquez flies out to right fielder Manuel Margot.,R,R,L,TB,BOS,S,,,1,1,2021,-0.06,0.74,0.62,1.64,,,,1,3,Top,,,,,Francisco Mejia,,,-5.839314064283932,-120.37111687848,-1.830721576848572,0.6203917826524377,24.064581588684806,-24.812351027858224,3.29,1.49,250.0,82.9,35.0,83.8,1958.0,7.0,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.45,,,,,,,,26,3,Cutter,2,5,5,2,5,2,5,2,Standard,Standard,136.0,0.0,-0.043,foul
4299257,FC,2021-06-22,84.7,3.08,4.76,"Yarbrough, Ryan",Christian Vazquez,Ryan Yarbrough,,foul,,,,,8.0,Christian Vazquez flies out to right fielder Manuel Margot.,R,R,L,TB,BOS,S,,,1,2,2021,0.26,0.3,0.13,1.4,,,,1,3,Top,,,,,Francisco Mejia,,,-7.4605167482920764,-123.1782169104017,-2.104962703848172,4.160454818219391,24.827653382939715,-28.917996205110537,3.29,1.49,221.0,86.3,18.0,85.4,1914.0,6.8,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.69,,,,,,,,26,4,Cutter,2,5,5,2,5,2,5,2,Standard,Standard,146.0,0.0,0.0,foul
4299258,FC,2021-06-22,83.2,3.09,4.8,"Yarbrough, Ryan",Christian Vazquez,Ryan Yarbrough,,foul,,,,,13.0,Christian Vazquez flies out to right fielder Manuel Margot.,R,R,L,TB,BOS,S,,,1,2,2021,0.03,0.78,-1.1,1.85,,,,1,3,Top,,,,,Francisco Mejia,,,-9.761507604709626,-120.74577082593908,-1.818728276481608,2.2502784778888896,24.12844968463072,-24.351424584406505,3.29,1.49,159.0,65.6,21.0,83.9,2122.0,7.0,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.54,,,,,,,,26,5,Cutter,2,5,5,2,5,2,5,2,Standard,Standard,153.0,0.0,0.0,foul
4299259,CH,2021-06-22,79.4,2.74,5.22,"Yarbrough, Ryan",Christian Vazquez,Ryan Yarbrough,,ball,,,,,14.0,Christian Vazquez flies out to right fielder Manuel Margot.,R,R,L,TB,BOS,B,,,1,2,2021,1.28,0.64,1.56,0.75,,,,1,3,Top,,,,,Francisco Mejia,,,-5.047097786699398,-115.49534847578148,-4.203882165729348,12.40058729255342,23.21063792524316,-25.8595955267879,3.15,1.41,,,,79.9,2004.0,6.8,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.66,,,,,,,,26,6,Changeup,2,5,5,2,5,2,5,2,Standard,Standard,97.0,0.0,0.028,ball
4299260,CH,2021-06-22,79.1,2.75,5.25,"Yarbrough, Ryan",Christian Vazquez,Ryan Yarbrough,field_out,hit_into_play,,,,,14.0,Christian Vazquez flies out to right fielder Manuel Margot.,R,R,L,TB,BOS,X,9.0,fly_ball,2,2,2021,1.26,0.82,0.9,1.81,,,,1,3,Top,172.82,130.33,,,Francisco Mejia,,,-6.420980454313375,-114.97015061150532,-2.1657238059144497,12.359443217885184,23.13608009852135,-24.765788095640968,3.29,1.49,208.0,86.3,58.0,79.3,1993.0,6.7,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.8,0.02,0.021,0.0,1.0,0.0,0.0,3.0,26,7,Changeup,2,5,5,2,5,2,5,2,Standard,Standard,97.0,0.009,-0.142,field_out
4299261,CU,2021-06-22,69.4,3.05,5.01,"Yarbrough, Ryan",Enrique Hernandez,Ryan Yarbrough,,swinging_strike,,,,,8.0,Enrique Hernandez hit by pitch.,R,R,L,TB,BOS,S,,,0,0,2021,-1.47,0.94,0.15,2.07,,,,2,3,Top,,,,,Francisco Mejia,,,-3.1404255873060256,-101.03661309862272,0.6668471748620486,-9.422614646671796,18.543902674614507,-26.16938382599577,3.32,1.51,,,,69.6,2187.0,6.7,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.81,,,,,,,,27,1,Curveball,2,5,5,2,5,2,5,2,Infield shift,Standard,278.0,0.0,-0.018,swinging_strike
4299262,FC,2021-06-22,81.5,3.03,4.81,"Yarbrough, Ryan",Enrique Hernandez,Ryan Yarbrough,,foul,,,,,4.0,Enrique Hernandez hit by pitch.,R,R,L,TB,BOS,S,,,0,1,2021,-0.3,0.69,-0.49,2.63,,,,2,3,Top,,,,,Francisco Mejia,,,-7.416728520967579,-118.51944479613272,0.443720116937124,-1.241777931853698,24.427298907632565,-26.05455061803244,3.32,1.51,7.0,98.9,-22.0,82.0,2091.0,6.9,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.64,,,,,,,,27,2,Cutter,2,5,5,2,5,2,5,2,Infield shift,Standard,157.0,0.0,-0.024,foul
4299263,CH,2021-06-22,79.4,2.65,5.23,"Yarbrough, Ryan",Enrique Hernandez,Ryan Yarbrough,,ball,,,,,14.0,Enrique Hernandez hit by pitch.,R,R,L,TB,BOS,B,,,0,2,2021,1.58,0.65,0.11,1.12,,,,2,3,Top,,,,,Francisco Mejia,,,-8.582736097285919,-115.15812208084364,-3.260581790829677,15.775714092569793,25.9194558680126,-26.01875733877317,3.28,1.46,,,,79.3,2041.0,6.9,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.62,,,,,,,,27,3,Changeup,2,5,5,2,5,2,5,2,Standard,Standard,99.0,0.0,0.011,ball
4299264,SI,2021-06-22,87.3,2.66,5.38,"Yarbrough, Ryan",Enrique Hernandez,Ryan Yarbrough,,foul,,,,,3.0,Enrique Hernandez hit by pitch.,R,R,L,TB,BOS,S,,,1,2,2021,1.15,1.22,0.49,2.81,,,,2,3,Top,,,,,Francisco Mejia,,,-7.650390589968316,-126.84441344550795,-2.4441458817895394,14.047302691056805,30.35874382710336,-18.86599666523393,3.32,1.51,295.0,87.8,35.0,87.4,1875.0,6.8,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.68,,,,,,,,27,4,Sinker,2,5,5,2,5,2,5,2,Standard,Standard,120.0,0.0,0.0,foul
4299265,CU,2021-06-22,73.0,2.97,4.89,"Yarbrough, Ryan",Enrique Hernandez,Ryan Yarbrough,hit_by_pitch,hit_by_pitch,,,,,13.0,Enrique Hernandez hit by pitch.,R,R,L,TB,BOS,B,,,1,2,2021,-1.34,0.69,-3.51,0.83,,,,2,3,Top,,,,,Francisco Mejia,,,-10.823743984663617,-105.76199068958736,-1.8206567494407355,-7.814111244497808,20.644264500769715,-26.9617524573067,3.32,1.51,,,,73.2,2383.0,7.0,633519,642232,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.47,,,0.7,1.0,0.0,0.0,,27,5,Curveball,2,5,5,2,5,2,5,2,Standard,Strategic,276.0,-0.007,0.154,hit_by_pitch
4299266,SI,2021-06-22,88.7,-3.63,3.75,"Thompson, Ryan",Bobby Dalbec,Ryan Thompson,,called_strike,,,,,8.0,Bobby Dalbec strikes out swinging.,R,R,R,TB,BOS,S,,,0,0,2021,-1.43,-0.59,0.0,1.91,,,Enrique Hernández,2,3,Top,,,,,Francisco Mejia,,,11.975434187984431,-128.4591392707706,2.954998964595558,-18.418319729682004,28.659573406138914,-39.60863120218872,3.06,1.45,,,,89.1,1856.0,7.0,633519,657044,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.51,,,,,,,,28,1,Sinker,2,5,5,2,5,2,5,2,Standard,Standard,276.0,0.0,-0.042,called_strike
4299267,SL,2021-06-22,77.5,-3.41,3.81,"Thompson, Ryan",Bobby Dalbec,Ryan Thompson,,swinging_strike,,,,,11.0,Bobby Dalbec strikes out swinging.,R,R,R,TB,BOS,S,,,0,1,2021,1.15,1.13,-1.25,3.34,,,Enrique Hernández,2,3,Top,,,,,Francisco Mejia,,,2.531623413415043,-112.61911939358949,4.0296025083291145,9.084787467479812,24.458140769125865,-23.805122614807733,3.55,1.63,,,,77.3,2022.0,6.7,633519,657044,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.83,,,,,,,,28,2,Slider,2,5,5,2,5,2,5,2,Standard,Standard,94.0,0.0,-0.047,swinging_strike
4299268,FF,2021-06-22,92.1,-3.21,4.45,"Thompson, Ryan",Bobby Dalbec,Ryan Thompson,strikeout,swinging_strike,,,,,2.0,Bobby Dalbec strikes out swinging.,R,R,R,TB,BOS,S,2.0,,0,2,2021,-1.38,0.75,0.08,3.26,,,Enrique Hernández,2,3,Top,,,,,Francisco Mejia,,,11.511119047225275,-133.5743753738602,1.3272538228130224,-19.12990856812412,32.55719985942965,-23.91194601620228,3.55,1.63,,,,92.7,2244.0,7.1,633519,657044,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.37,,,0.0,1.0,0.0,0.0,,28,3,4-Seam Fastball,2,5,5,2,5,2,5,2,Standard,Standard,258.0,0.014,-0.138,strikeout
